#,simulations,time_usage,result,std_err,rho
0,2560,478.44,1.26152,0.296136,-1
1,2560,466.355,0.470062,0.107302,-0.95
2,2560,477.034,0.848252,0.269841,-0.9
3,2560,472.521,0.530181,0.245455,-0.85
4,2560,481.564,0.330572,0.125162,-0.8
5,2560,483.892,0.485074,0.269399,-0.75
6,2560,483.47,0.142283,0.0210141,-0.7
7,2560,483.34,0.140413,0.0230825,-0.65
8,2560,474.108,0.118407,0.0166985,-0.6
9,2560,481.944,0.0737143,0.00941314,-0.55
10,2560,478.459,0.0903183,0.0106861,-0.5
11,2560,542.818,0.0630406,0.00748482,-0.45
12,2560,568.95,0.0847346,0.0122196,-0.4
13,2560,572.618,0.0642485,0.0107145,-0.35
14,2560,584.286,0.0885854,0.0154183,-0.3
15,2560,573.448,0.0816777,0.0110547,-0.25
16,2560,579.624,0.0911267,0.0162992,-0.2
17,2560,591.989,0.0636009,0.00953776,-0.15
18,2560,578.77,0.0710732,0.00849382,-0.1
19,2560,476.821,0.0684726,0.00835649,-0.05
20,2560,472.12,0.0804926,0.0121624,3.19189e-16
21,2560,466.019,0.0820665,0.014249,0.05
22,2560,476.328,0.0779452,0.0117372,0.1
23,2560,471.791,0.0664791,0.00837316,0.15
24,2560,469.632,0.0816917,0.0120213,0.2
25,2560,472.865,0.0795667,0.013385,0.25
26,2560,467.379,0.133554,0.04461,0.3
27,2560,474.363,0.0867233,0.0185708,0.35
28,2560,471.642,0.130591,0.0549911,0.4
29,2560,468.526,0.072711,0.0114636,0.45
30,2560,476.095,0.0914264,0.0147143,0.5
31,2560,468.856,0.0794669,0.0111361,0.55
32,2560,470.623,0.104948,0.017805,0.6
33,2560,477.922,0.105391,0.0192933,0.65
34,2560,472.469,0.109713,0.0202473,0.7
35,2560,479.239,0.130194,0.0192536,0.75
36,2560,486.904,0.164918,0.0302777,0.8
37,2560,555.365,0.150681,0.0247835,0.85
38,2560,592.161,0.239039,0.0404068,0.9
39,2560,597.207,0.416341,0.0739592,0.95
