#,simulations,time_usage,result,std_err,rho
0,2560,67.2087,0.205727,0.0366694,-1
1,2560,69.4556,0.202328,0.0480441,-0.95
2,2560,71.4454,0.131307,0.0325365,-0.9
3,2560,72.4096,0.113783,0.0349427,-0.85
4,2560,74.5312,0.126687,0.0473895,-0.8
5,2560,76.2708,0.301039,0.21935,-0.75
6,2560,76.6928,0.0603451,0.0171599,-0.7
7,2560,72.6431,0.283814,0.212317,-0.65
8,2560,72.0003,0.143053,0.0602907,-0.6
9,2560,72.8199,0.115805,0.0455214,-0.55
10,2560,73.5991,0.143013,0.0356973,-0.5
11,2560,74.6143,0.356764,0.179151,-0.45
12,2560,74.8176,0.108628,0.0253847,-0.4
13,2560,74.5174,0.232987,0.0745778,-0.35
14,2560,75.9485,0.340512,0.165799,-0.3
15,2560,76.0572,0.758665,0.331587,-0.25
16,2560,75.4892,1.9265,0.992835,-0.2
17,2560,74.9969,1.38988,0.474978,-0.15
18,2560,75.0884,0.680947,0.309148,-0.1
19,2560,76.5748,0.474524,0.124276,-0.05
20,2560,76.607,6.73298,5.59299,3.19189e-16
21,2560,75.9344,0.324115,0.0991557,0.05
22,2560,76.6747,0.885412,0.395928,0.1
23,2560,76.1756,3.02688,2.528,0.15
24,2560,76.3715,0.406445,0.142824,0.2
25,2560,75.1674,0.22443,0.0641988,0.25
26,2560,76.476,0.374079,0.170691,0.3
27,2560,75.731,0.155561,0.0554373,0.35
28,2560,78.1048,0.255567,0.173458,0.4
29,2560,77.3971,0.373997,0.190482,0.45
30,2560,75.6608,0.168734,0.0762045,0.5
31,2560,76.0487,0.136344,0.0589757,0.55
32,2560,77.0162,0.0781829,0.0248542,0.6
33,2560,76.3666,0.0615988,0.0330512,0.65
34,2560,76.668,0.0491394,0.0134695,0.7
35,2560,76.3593,0.779526,0.728027,0.75
36,2560,76.7968,0.0673561,0.0364659,0.8
37,2560,76.9078,0.135616,0.0626831,0.85
38,2560,77.5238,0.0854834,0.0509028,0.9
39,2560,76.7337,0.314764,0.238763,0.95
