#,simulations,time_usage,result,std_err,rho
0,2560,473.732,0.259285,0.053052,-1
1,2560,469.051,0.253966,0.0494292,-0.95
2,2560,474.202,0.173064,0.0274266,-0.9
3,2560,472.657,0.357441,0.172865,-0.85
4,2560,471.515,0.102606,0.0189655,-0.8
5,2560,478.411,0.0921502,0.017756,-0.75
6,2560,472.843,0.0573428,0.0119339,-0.7
7,2560,477.351,0.100174,0.0473986,-0.65
8,2560,460.904,0.0621379,0.0111927,-0.6
9,2560,468.715,0.0376405,0.00558687,-0.55
10,2560,472.592,0.0338524,0.00579247,-0.5
11,2560,556.937,0.0353299,0.00584893,-0.45
12,2560,577.858,0.0371287,0.00609108,-0.4
13,2560,570.787,0.0342491,0.00666339,-0.35
14,2560,584.863,0.0338297,0.00492362,-0.3
15,2560,574.188,0.042468,0.00755472,-0.25
16,2560,570.336,0.0292499,0.00488314,-0.2
17,2560,581.584,0.0229323,0.00334888,-0.15
18,2560,553.698,0.0252111,0.00438268,-0.1
19,2560,471.533,0.0315918,0.00575107,-0.05
20,2560,484.995,0.0361952,0.00662316,3.19189e-16
21,2560,470.301,0.0392087,0.00794947,0.05
22,2560,481.81,0.0522091,0.0110191,0.1
23,2560,475.507,0.0270571,0.00465424,0.15
24,2560,470.947,0.0396868,0.00918507,0.2
25,2560,476.364,0.0280039,0.00560383,0.25
26,2560,479.892,0.0318274,0.00582955,0.3
27,2560,472.502,0.030012,0.00591017,0.35
28,2560,475.216,0.0218213,0.00391214,0.4
29,2560,467.759,0.0406497,0.00792148,0.45
30,2560,478.893,0.0333345,0.00561372,0.5
31,2560,467.078,0.0235361,0.00428169,0.55
32,2560,468.111,0.0260298,0.00524695,0.6
33,2560,468.099,0.0547395,0.0159289,0.65
34,2560,475.661,0.0527948,0.00866682,0.7
35,2560,483.09,0.0477476,0.00665835,0.75
36,2560,518.602,0.059698,0.0107506,0.8
37,2560,566.463,0.0616483,0.00916354,0.85
38,2560,607.176,0.0992929,0.0214264,0.9
39,2560,567.546,0.120421,0.0156096,0.95
