#,simulations,time_usage,result,std_err,rho
0,2560,472.318,0.373192,0.00459671,-1
1,2560,471.139,0.381184,0.00453184,-0.95
2,2560,472.537,0.386276,0.00437158,-0.9
3,2560,473.686,0.399343,0.00426484,-0.85
4,2560,468.719,0.403269,0.00417362,-0.8
5,2560,479.92,0.408305,0.00408148,-0.75
6,2560,473.943,0.410024,0.00399401,-0.7
7,2560,480.522,0.415615,0.00392236,-0.65
8,2560,475.621,0.421249,0.0038335,-0.6
9,2560,486.269,0.427722,0.00379164,-0.55
10,2560,470.939,0.427354,0.00376669,-0.5
11,2560,535.845,0.430394,0.00367592,-0.45
12,2560,578.667,0.426321,0.0037511,-0.4
13,2560,568.053,0.426738,0.00367993,-0.35
14,2560,568.09,0.437194,0.00360515,-0.3
15,2560,574.232,0.42992,0.00373482,-0.25
16,2560,579.354,0.424217,0.00372068,-0.2
17,2560,579.88,0.426142,0.00372238,-0.15
18,2560,577.457,0.425887,0.00374894,-0.1
19,2560,489.253,0.429269,0.00365161,-0.05
20,2560,470.977,0.432124,0.00365335,3.19189e-16
21,2560,468.318,0.427834,0.00372952,0.05
22,2560,467.937,0.428784,0.00371659,0.1
23,2560,464.741,0.432077,0.00361425,0.15
24,2560,471.146,0.439577,0.0035082,0.2
25,2560,476.709,0.434007,0.00358192,0.25
26,2560,465.15,0.434823,0.00360455,0.3
27,2560,473.108,0.436944,0.00362578,0.35
28,2560,466.415,0.433073,0.00370999,0.4
29,2560,474.481,0.431596,0.00367751,0.45
30,2560,473.136,0.430771,0.00371585,0.5
31,2560,478.391,0.440073,0.00367802,0.55
32,2560,467.2,0.431757,0.00372359,0.6
33,2560,478.593,0.433303,0.00372965,0.65
34,2560,468.505,0.433999,0.00370832,0.7
35,2560,484.973,0.420388,0.00394208,0.75
36,2560,500.65,0.420898,0.00395817,0.8
37,2560,549.207,0.41735,0.00405091,0.85
38,2560,597.363,0.409878,0.00413091,0.9
39,2560,603.494,0.397378,0.00430979,0.95
