#,simulations,time_usage,result,std_err,rho
0,2560,67.7345,0.667999,0.0770218,-1
1,2560,69.9031,0.548949,0.0472711,-0.95
2,2560,70.8241,0.483638,0.0336837,-0.9
3,2560,72.7008,0.435301,0.0362583,-0.85
4,2560,73.5096,0.40038,0.0141124,-0.8
5,2560,74.0937,0.410497,0.0159836,-0.75
6,2560,73.233,0.459402,0.0500123,-0.7
7,2560,72.701,0.462359,0.0253303,-0.65
8,2560,72.4946,0.442852,0.0258235,-0.6
9,2560,72.8021,0.41183,0.0161491,-0.55
10,2560,72.9659,0.466355,0.0309161,-0.5
11,2560,74.7279,0.486612,0.0287698,-0.45
12,2560,74.1308,0.609239,0.096178,-0.4
13,2560,74.3819,0.567619,0.041854,-0.35
14,2560,74.5625,0.655071,0.0506287,-0.3
15,2560,75.8085,0.732466,0.18602,-0.25
16,2560,74.5201,0.68569,0.0734612,-0.2
17,2560,73.9732,0.904871,0.184526,-0.15
18,2560,74.2036,0.927802,0.146043,-0.1
19,2560,75.7764,0.822406,0.0844405,-0.05
20,2560,75.0142,0.77584,0.0838634,3.19189e-16
21,2560,74.7296,0.989736,0.152786,0.05
22,2560,74.9109,1.39453,0.462965,0.1
23,2560,74.8639,0.623457,0.0454992,0.15
24,2560,74.6026,0.669159,0.0813144,0.2
25,2560,74.177,0.773083,0.183116,0.25
26,2560,75.0929,1.31277,0.700406,0.3
27,2560,75.1018,0.68517,0.060577,0.35
28,2560,76.4196,0.65421,0.0926051,0.4
29,2560,75.0381,0.514035,0.0326638,0.45
30,2560,75.1512,0.502916,0.0366801,0.5
31,2560,76.301,0.483863,0.0329798,0.55
32,2560,77.6374,0.491627,0.0312655,0.6
33,2560,76.4358,0.486131,0.0390279,0.65
34,2560,77.3096,0.410371,0.0203127,0.7
35,2560,77.2913,0.395137,0.0153434,0.75
36,2560,76.6448,0.386033,0.0150248,0.8
37,2560,78.2449,0.393457,0.0182571,0.85
38,2560,78.1691,0.416497,0.0206028,0.9
39,2560,75.9834,0.514767,0.0396996,0.95
