#,simulations,time_usage,result,std_err,rho
0,2560,473.374,0.530265,0.00442141,-1
1,2560,469.238,0.532132,0.00435362,-0.95
2,2560,473.5,0.546705,0.00414752,-0.9
3,2560,465.232,0.544369,0.00411393,-0.85
4,2560,472.929,0.556222,0.00388601,-0.8
5,2560,485.164,0.556583,0.00374229,-0.75
6,2560,472.609,0.559285,0.00375671,-0.7
7,2560,488.447,0.564602,0.0036829,-0.65
8,2560,474.318,0.560585,0.00364381,-0.6
9,2560,472.616,0.572109,0.00341964,-0.55
10,2560,467.667,0.572475,0.00335051,-0.5
11,2560,563.822,0.568651,0.00350137,-0.45
12,2560,579.673,0.561883,0.00357976,-0.4
13,2560,563.092,0.571979,0.00335081,-0.35
14,2560,577.376,0.568433,0.00343848,-0.3
15,2560,579.611,0.568056,0.00339304,-0.25
16,2560,593.297,0.569784,0.00348538,-0.2
17,2560,569.018,0.57605,0.00326161,-0.15
18,2560,543.736,0.574224,0.00335779,-0.1
19,2560,481.459,0.571555,0.00344613,-0.05
20,2560,475.844,0.573603,0.00342078,3.19189e-16
21,2560,467.811,0.576179,0.00334909,0.05
22,2560,473.208,0.569742,0.00344038,0.1
23,2560,479.09,0.571742,0.00341788,0.15
24,2560,476.326,0.578978,0.003305,0.2
25,2560,471.931,0.576148,0.00335541,0.25
26,2560,474.652,0.575837,0.00329403,0.3
27,2560,471.015,0.580954,0.00317153,0.35
28,2560,474.442,0.57449,0.00331031,0.4
29,2560,474.218,0.579543,0.00325682,0.45
30,2560,469.435,0.580627,0.00318382,0.5
31,2560,470.508,0.576489,0.0033485,0.55
32,2560,472.481,0.577592,0.00329882,0.6
33,2560,480.5,0.578498,0.00327373,0.65
34,2560,469.653,0.575184,0.00337251,0.7
35,2560,468.998,0.570377,0.00347733,0.75
36,2560,528.442,0.573338,0.0035109,0.8
37,2560,574.621,0.565471,0.00373454,0.85
38,2560,591.564,0.554242,0.00392137,0.9
39,2560,564.695,0.549985,0.00405331,0.95
