#,simulations,time_usage,result,std_err,rho
0,2560,67.8398,0.169727,0.0182221,-1
1,2560,69.8619,0.18338,0.0427365,-0.95
2,2560,71.169,0.142474,0.0182035,-0.9
3,2560,73.4597,0.115119,0.00875245,-0.85
4,2560,74.5564,0.111444,0.00801023,-0.8
5,2560,77.2937,0.0941972,0.00763056,-0.75
6,2560,75.1952,0.105046,0.0103817,-0.7
7,2560,72.329,0.110762,0.00867524,-0.65
8,2560,72.4232,0.117049,0.0100699,-0.6
9,2560,72.705,0.105899,0.0111388,-0.55
10,2560,73.3124,0.155613,0.0271619,-0.5
11,2560,75.1378,0.17163,0.0426372,-0.45
12,2560,74.721,0.125391,0.00919097,-0.4
13,2560,74.6292,0.187638,0.0413632,-0.35
14,2560,75.7418,0.148635,0.013606,-0.3
15,2560,77.1924,0.183728,0.0300579,-0.25
16,2560,74.8282,0.163363,0.0162575,-0.2
17,2560,74.5806,0.205695,0.0225355,-0.15
18,2560,74.8762,0.181931,0.0220465,-0.1
19,2560,76.7094,0.155184,0.0170912,-0.05
20,2560,76.6349,0.21333,0.026198,3.19189e-16
21,2560,76.5028,0.289835,0.096491,0.05
22,2560,76.4303,0.184235,0.0400103,0.1
23,2560,77.0836,0.236785,0.0665506,0.15
24,2560,75.2454,0.320574,0.116063,0.2
25,2560,76.0036,0.241107,0.057821,0.25
26,2560,75.6519,0.162706,0.0173945,0.3
27,2560,76.1716,0.208106,0.046496,0.35
28,2560,76.495,0.180261,0.019946,0.4
29,2560,76.1895,0.158471,0.0197743,0.45
30,2560,76.2371,0.129933,0.0148988,0.5
31,2560,75.4865,0.109381,0.00771664,0.55
32,2560,76.0969,0.180579,0.0496395,0.6
33,2560,76.9176,0.0969289,0.00741208,0.65
34,2560,77.0093,0.0948706,0.00806335,0.7
35,2560,77.2338,0.102664,0.0136175,0.75
36,2560,76.0985,0.101233,0.00895754,0.8
37,2560,77.1894,0.089673,0.00667224,0.85
38,2560,78.109,0.20863,0.0459893,0.9
39,2560,76.4252,0.113542,0.0125777,0.95
