#,simulations,time_usage,result,std_err,rho
0,2560,69.2182,0.000191793,0.000125181,-1
1,2560,70.1397,0.000560472,0.000233077,-0.95
2,2560,70.3015,0.000299065,0.000115622,-0.9
3,2560,69.852,0.000114853,7.47932e-05,-0.85
4,2560,70.1758,0.000177303,9.24386e-05,-0.8
5,2560,70.0696,9.73819e-05,7.50349e-05,-0.75
6,2560,71.007,0.000181327,0.000118247,-0.7
7,2560,74.9063,0.000321536,0.000180169,-0.65
8,2560,73.0712,0.000232365,0.000120996,-0.6
9,2560,72.7506,4.70067e-05,4.70067e-05,-0.55
10,2560,73.6686,0.000317284,0.000183759,-0.5
11,2560,72.3653,0.000260655,0.00015484,-0.45
12,2560,72.3023,0.000428485,0.000215733,-0.4
13,2560,72.2334,0.000551305,0.000218336,-0.35
14,2560,71.1122,0.000299452,0.000155378,-0.3
15,2560,71.8817,0.000739656,0.000277775,-0.25
16,2560,71.3581,0.000205002,0.000120205,-0.2
17,2560,72.2666,0.000209779,0.000106364,-0.15
18,2560,74.8537,0.00035885,0.000190176,-0.1
19,2560,76.4837,0.000405973,0.00018996,-0.05
20,2560,73.4482,0.000405974,0.000204252,3.19189e-16
21,2560,74.7285,0.000386388,0.000200824,0.05
22,2560,74.1645,0.00039295,0.000191672,0.1
23,2560,73.2203,0.000198651,0.00011793,0.15
24,2560,70.7404,0.000158868,0.000106288,0.2
25,2560,70.0555,0.000408674,0.000172727,0.25
26,2560,70.4183,0.000552778,0.00024876,0.3
27,2560,70.0604,0.000198636,0.000131679,0.35
28,2560,70.3113,0.000168839,0.000119889,0.4
29,2560,70.0748,0.000113597,7.64097e-05,0.45
30,2560,69.8047,0.000106493,7.86275e-05,0.5
31,2560,70.0383,0.000190076,0.000115085,0.55
32,2560,69.918,0.000153109,9.56863e-05,0.6
33,2560,70.2989,0.000184905,0.000122828,0.65
34,2560,69.9709,0.000266986,0.000154816,0.7
35,2560,70.1246,0.000126064,9.18555e-05,0.75
36,2560,70.2112,0.000273549,0.000147217,0.8
37,2560,70.2035,0,0,0.85
38,2560,70.4076,0.000153558,9.84838e-05,0.9
39,2560,68.4261,0.000378907,0.000176204,0.95
