#,simulations,time_usage,result,std_err,rho
0,2560,67.08,0.172706,0.0629795,-1
1,2560,70.4377,0.0988278,0.0457752,-0.95
2,2560,70.1561,0.116194,0.0319435,-0.9
3,2560,70.0443,0.0581918,0.013648,-0.85
4,2560,70.2811,0.0702453,0.0224006,-0.8
5,2560,70.0783,0.044918,0.0136263,-0.75
6,2560,69.9991,0.186594,0.12893,-0.7
7,2560,71.3227,0.0505949,0.0181128,-0.65
8,2560,76.1867,0.0589093,0.0151882,-0.6
9,2560,72.3626,0.0559831,0.0143805,-0.55
10,2560,71.9154,0.174014,0.0861306,-0.5
11,2560,73.3102,0.0531703,0.0146521,-0.45
12,2560,72.072,0.19679,0.0616567,-0.4
13,2560,72.3736,0.0918387,0.0258226,-0.35
14,2560,71.8286,0.0975825,0.0214247,-0.3
15,2560,70.8691,0.0927797,0.0279103,-0.25
16,2560,71.4207,0.311202,0.133227,-0.2
17,2560,71.3947,0.133751,0.0359442,-0.15
18,2560,74.3722,0.570186,0.220475,-0.1
19,2560,73.4753,0.187004,0.0745433,-0.05
20,2560,76.1383,0.140803,0.0725756,3.19189e-16
21,2560,73.1979,0.139755,0.0402025,0.05
22,2560,73.4932,0.250212,0.0563112,0.1
23,2560,73.7674,0.226688,0.0908212,0.15
24,2560,71.8408,0.221026,0.0711552,0.2
25,2560,70.6443,0.287317,0.129761,0.25
26,2560,70.1508,0.127995,0.0520068,0.3
27,2560,70.1977,0.137501,0.0509377,0.35
28,2560,70.2905,0.119726,0.0361167,0.4
29,2560,70.1518,0.108803,0.0369558,0.45
30,2560,70.3221,0.0787082,0.0265538,0.5
31,2560,69.9578,0.0459034,0.0128585,0.55
32,2560,70.0499,0.059606,0.0304646,0.6
33,2560,69.981,0.0953369,0.0351281,0.65
34,2560,70.1802,0.0488895,0.0147593,0.7
35,2560,70.1027,0.0248083,0.0071282,0.75
36,2560,70.4139,0.0353885,0.0166767,0.8
37,2560,70.1558,0.0504604,0.0133512,0.85
38,2560,70.1683,0.0559231,0.0251737,0.9
39,2560,70.0503,0.063848,0.0200123,0.95
