#,simulations,time_usage,result,std_err,rho
0,2560,69.7291,0.384928,0.103466,-1
1,2560,70.1795,0.48252,0.135635,-0.95
2,2560,70.3885,0.142939,0.0370225,-0.9
3,2560,70.2635,0.164799,0.0504738,-0.85
4,2560,70.2803,0.512759,0.419267,-0.8
5,2560,70.3228,0.196866,0.069145,-0.75
6,2560,71.21,0.266176,0.14333,-0.7
7,2560,76.4285,0.189274,0.0740979,-0.65
8,2560,72.5795,0.188601,0.0661964,-0.6
9,2560,72.6175,0.215734,0.0550012,-0.55
10,2560,73.4781,0.478532,0.233446,-0.5
11,2560,71.9412,0.109753,0.0258994,-0.45
12,2560,72.284,0.217011,0.0625071,-0.4
13,2560,72.4374,1.38724,0.697005,-0.35
14,2560,71.4861,0.987977,0.537399,-0.3
15,2560,71.9022,2.44501,1.77091,-0.25
16,2560,71.7102,1.71527,0.629414,-0.2
17,2560,74.104,1.92455,1.13494,-0.15
18,2560,73.274,0.556167,0.22708,-0.1
19,2560,75.834,1.81198,0.801453,-0.05
20,2560,73.3131,0.477551,0.131152,3.19189e-16
21,2560,73.5635,0.759101,0.178838,0.05
22,2560,73.1395,1.26653,0.525145,0.1
23,2560,72.84,0.573391,0.204459,0.15
24,2560,70.802,2.46784,1.9064,0.2
25,2560,70.158,1.55821,0.893158,0.25
26,2560,70.4018,0.709629,0.430915,0.3
27,2560,70.0959,0.618068,0.264706,0.35
28,2560,70.5972,0.914522,0.545172,0.4
29,2560,70.3928,0.2965,0.129897,0.45
30,2560,70.6498,0.177945,0.0654056,0.5
31,2560,70.558,0.184645,0.0807579,0.55
32,2560,70.3337,0.100435,0.0268107,0.6
33,2560,70.4426,0.0567699,0.0113945,0.65
34,2560,70.3902,0.0835257,0.0475969,0.7
35,2560,71.1159,0.0912499,0.0341211,0.75
36,2560,70.3553,0.0949021,0.0367192,0.8
37,2560,70.3616,0.110857,0.0432561,0.85
38,2560,70.585,0.145453,0.0534679,0.9
39,2560,67.793,0.194287,0.0911078,0.95
