#,simulations,time_usage,result,std_err,rho
0,2560,68.5776,0.197566,0.00592977,-1
1,2560,69.9467,0.182666,0.00577856,-0.95
2,2560,70.2972,0.177507,0.00574575,-0.9
3,2560,70.4786,0.17603,0.00569853,-0.85
4,2560,70.5175,0.161822,0.00557088,-0.8
5,2560,70.5475,0.170758,0.0056545,-0.75
6,2560,70.6416,0.169364,0.00565728,-0.7
7,2560,70.5947,0.177074,0.00572523,-0.65
8,2560,70.3857,0.171242,0.00566814,-0.6
9,2560,70.6109,0.178358,0.00576307,-0.55
10,2560,70.2572,0.177947,0.00571695,-0.5
11,2560,70.6844,0.184771,0.00580874,-0.45
12,2560,70.8029,0.185283,0.00584058,-0.4
13,2560,70.6372,0.179714,0.00577309,-0.35
14,2560,70.4949,0.188141,0.00581976,-0.3
15,2560,70.5713,0.190262,0.00583621,-0.25
16,2560,70.5428,0.201222,0.00593596,-0.2
17,2560,70.61,0.194528,0.00588396,-0.15
18,2560,70.4573,0.177275,0.00572683,-0.1
19,2560,71.1188,0.187861,0.00583725,-0.05
20,2560,70.7469,0.186675,0.00580706,3.19189e-16
21,2560,70.2528,0.195036,0.00590247,0.05
22,2560,70.4572,0.184126,0.00578031,0.1
23,2560,70.5903,0.182374,0.00576397,0.15
24,2560,70.565,0.190248,0.0058746,0.2
25,2560,70.5793,0.18651,0.00583949,0.25
26,2560,70.6419,0.179789,0.00577527,0.3
27,2560,70.5718,0.176848,0.00570817,0.35
28,2560,70.5045,0.196193,0.00588834,0.4
29,2560,70.9292,0.164276,0.00558361,0.45
30,2560,70.9795,0.171455,0.00568684,0.5
31,2560,70.8174,0.170285,0.00568141,0.55
32,2560,70.5983,0.151518,0.00543745,0.6
33,2560,70.7527,0.153599,0.00545682,0.65
34,2560,70.4022,0.154336,0.00546353,0.7
35,2560,70.4371,0.155982,0.00548094,0.75
36,2560,70.4259,0.155406,0.00549508,0.8
37,2560,70.45,0.164584,0.00560255,0.85
38,2560,70.482,0.169547,0.00566592,0.9
39,2560,69.0038,0.168083,0.00564938,0.95
