#,simulations,time_usage,result,std_err,rho
0,2560,68.0218,0.413104,0.00661106,-1
1,2560,70.1145,0.438649,0.00645623,-0.95
2,2560,70.1795,0.451604,0.00637193,-0.9
3,2560,70.2292,0.46378,0.00631422,-0.85
4,2560,70.3058,0.468607,0.00626797,-0.8
5,2560,70.3485,0.468018,0.00627369,-0.75
6,2560,70.5911,0.462939,0.00633485,-0.7
7,2560,70.3158,0.459796,0.00634257,-0.65
8,2560,70.4818,0.454123,0.00637357,-0.6
9,2560,70.2561,0.448812,0.00641845,-0.55
10,2560,70.0102,0.442064,0.00645689,-0.5
11,2560,70.4093,0.446254,0.00643922,-0.45
12,2560,70.4212,0.43028,0.00652184,-0.4
13,2560,70.362,0.429979,0.00653521,-0.35
14,2560,70.2504,0.425576,0.00655269,-0.3
15,2560,70.6409,0.422495,0.00655905,-0.25
16,2560,70.289,0.413431,0.0066073,-0.2
17,2560,70.2612,0.424762,0.00656635,-0.15
18,2560,70.4872,0.425054,0.00655391,-0.1
19,2560,70.3084,0.403822,0.00665687,-0.05
20,2560,70.6753,0.414675,0.00659216,3.19189e-16
21,2560,70.2724,0.411391,0.00662381,0.05
22,2560,70.0982,0.427339,0.00656073,0.1
23,2560,70.1575,0.425465,0.00654337,0.15
24,2560,70.3225,0.426413,0.00654506,0.2
25,2560,70.1971,0.440116,0.00649014,0.25
26,2560,69.9305,0.43019,0.00651989,0.3
27,2560,70.1597,0.440246,0.00650367,0.35
28,2560,70.3348,0.444669,0.00645417,0.4
29,2560,70.5043,0.45228,0.00639926,0.45
30,2560,70.0678,0.467956,0.00630343,0.5
31,2560,70.1832,0.467741,0.00631471,0.55
32,2560,70.178,0.472007,0.0062669,0.6
33,2560,70.2891,0.488816,0.0061289,0.65
34,2560,70.3699,0.486622,0.00615132,0.7
35,2560,70.4713,0.49014,0.0061144,0.75
36,2560,70.0542,0.494281,0.00607668,0.8
37,2560,70.4194,0.483272,0.00618099,0.85
38,2560,70.2773,0.480297,0.0062149,0.9
39,2560,70.046,0.459983,0.00634738,0.95
