#,simulations,time_usage,result,std_err,rho
0,2560,68.3005,0.19709,0.00589111,-1
1,2560,70.0126,0.184924,0.00579869,-0.95
2,2560,70.1647,0.178687,0.00573615,-0.9
3,2560,70.487,0.172102,0.00565963,-0.85
4,2560,70.6425,0.164855,0.00559027,-0.8
5,2560,70.5401,0.181504,0.00579592,-0.75
6,2560,70.5766,0.16524,0.00562424,-0.7
7,2560,70.5266,0.176025,0.00571016,-0.65
8,2560,70.5395,0.166505,0.00560027,-0.6
9,2560,70.3087,0.175902,0.00569031,-0.55
10,2560,70.4053,0.16953,0.00564056,-0.5
11,2560,70.3141,0.186357,0.00579495,-0.45
12,2560,70.5349,0.183109,0.00578513,-0.4
13,2560,70.4484,0.184605,0.00577296,-0.35
14,2560,70.6079,0.194018,0.00588548,-0.3
15,2560,70.38,0.189943,0.00582081,-0.25
16,2560,70.4003,0.182564,0.00576359,-0.2
17,2560,70.5193,0.19941,0.00591639,-0.15
18,2560,70.5058,0.191936,0.00587692,-0.1
19,2560,70.4283,0.187713,0.00580401,-0.05
20,2560,70.7639,0.187781,0.00582367,3.19189e-16
21,2560,70.5439,0.206298,0.00601769,0.05
22,2560,70.5453,0.193431,0.00588992,0.1
23,2560,70.5079,0.188365,0.00584167,0.15
24,2560,70.3882,0.198602,0.00591199,0.2
25,2560,70.2548,0.187128,0.00580317,0.25
26,2560,70.6386,0.178961,0.00574979,0.3
27,2560,70.427,0.188916,0.00583206,0.35
28,2560,70.4034,0.179007,0.00572133,0.4
29,2560,70.7465,0.170718,0.00568255,0.45
30,2560,70.5375,0.160798,0.00555216,0.5
31,2560,70.273,0.160449,0.00555987,0.55
32,2560,70.1535,0.16721,0.00565493,0.6
33,2560,70.4565,0.160071,0.00556114,0.65
34,2560,70.3866,0.156258,0.00551439,0.7
35,2560,70.3473,0.154636,0.00545088,0.75
36,2560,70.2871,0.157778,0.00550902,0.8
37,2560,70.3371,0.162765,0.00558719,0.85
38,2560,70.7275,0.162309,0.00556107,0.9
39,2560,70.5353,0.171354,0.00566838,0.95
