#,simulations,time_usage,result,std_err,rho
0,2560,68.7006,0.426727,0.00653434,-1
1,2560,69.5478,0.433469,0.00650087,-0.95
2,2560,70.3024,0.445608,0.00643652,-0.9
3,2560,70.2372,0.452767,0.00636836,-0.85
4,2560,70.2746,0.45358,0.00639684,-0.8
5,2560,70.0083,0.48084,0.00618107,-0.75
6,2560,70.3227,0.452538,0.00637236,-0.7
7,2560,70.1882,0.455793,0.00635911,-0.65
8,2560,70.4437,0.452217,0.00639021,-0.6
9,2560,70.2082,0.451531,0.00639784,-0.55
10,2560,70.1878,0.445265,0.00643891,-0.5
11,2560,70.2223,0.448716,0.00642963,-0.45
12,2560,70.4847,0.433192,0.00650253,-0.4
13,2560,70.1981,0.423376,0.00656244,-0.35
14,2560,69.9047,0.429374,0.00654743,-0.3
15,2560,70.4089,0.41983,0.00657973,-0.25
16,2560,69.9902,0.424996,0.00655756,-0.2
17,2560,70.4568,0.415121,0.00658473,-0.15
18,2560,70.4392,0.426722,0.00653779,-0.1
19,2560,70.4111,0.415314,0.00659958,-0.05
20,2560,70.3559,0.413066,0.00660841,3.19189e-16
21,2560,70.1256,0.415736,0.00659802,0.05
22,2560,70.2216,0.410921,0.00661627,0.1
23,2560,70.132,0.423001,0.0065618,0.15
24,2560,70.3434,0.436234,0.00652446,0.2
25,2560,69.9593,0.428506,0.00654936,0.25
26,2560,70.0638,0.442948,0.00645921,0.3
27,2560,70.2364,0.451025,0.00641415,0.35
28,2560,70.2456,0.445042,0.00646521,0.4
29,2560,70.5152,0.457576,0.00637618,0.45
30,2560,69.9686,0.463058,0.00634831,0.5
31,2560,70.2999,0.477708,0.00621418,0.55
32,2560,70.4349,0.471992,0.0062635,0.6
33,2560,70.1708,0.485202,0.00616727,0.65
34,2560,70.131,0.476994,0.00622088,0.7
35,2560,70.2653,0.495483,0.00605642,0.75
36,2560,70.3204,0.492639,0.00610083,0.8
37,2560,70.4512,0.482113,0.00617549,0.85
38,2560,70.3393,0.48498,0.00616444,0.9
39,2560,69.5166,0.474212,0.00626188,0.95
