#,simulations,time_usage,result,std_err,V0
0,25600,234.344,0.189432,0.00264967,0.2
1,25600,163.666,0.230144,0.00342128,0.3
2,25600,108.295,0.271446,0.00422393,0.4
3,25600,90.661,0.295006,0.00488948,0.5
4,25600,80.2624,0.325857,0.00543687,0.6
5,25600,72.6569,0.357243,0.00632754,0.7
6,25600,66.4749,0.368856,0.00643734,0.8
7,25600,62.1494,0.416603,0.00763552,0.9
8,25600,58.5037,0.426635,0.00774669,1
9,25600,55.725,0.443585,0.008095,1.1
10,25600,52.3593,0.46003,0.00977467,1.2
11,25600,49.5944,0.489025,0.00956528,1.3
12,25600,47.9225,0.500299,0.00996879,1.4
13,25600,46.4701,0.508274,0.0107066,1.5
14,25600,44.6636,0.539623,0.0114227,1.6
15,25600,43.4851,0.551111,0.0112952,1.7
16,25600,42.782,0.573011,0.0118027,1.8
17,25600,41.6073,0.577931,0.0124398,1.9
18,25600,39.9742,0.600206,0.0148901,2
19,25600,39.0082,0.615837,0.0135755,2.1
20,25600,37.9361,0.632736,0.0146475,2.2
21,25600,37.377,0.651998,0.0148622,2.3
22,25600,36.7863,0.653382,0.0152491,2.4
