#,simulations,time_usage,result,std_err,epsilon
0,25600,53.9127,0.450339,0.00890691,0.2
1,25600,32.5519,0.432884,0.00776885,0.3
2,25600,28.4272,0.437613,0.00865595,0.4
3,25600,21.6046,0.419248,0.00748933,0.5
4,25600,16.865,0.385695,0.00681018,0.6
5,25600,15.3975,0.383775,0.0062223,0.7
6,25600,14.7196,0.372463,0.0060742,0.8
7,25600,13.2641,0.366602,0.00579284,0.9
8,25600,12.5951,0.346931,0.00537017,1
9,25600,12.9018,0.33203,0.00532183,1.1
10,25600,14.55,0.330945,0.00535369,1.2
11,25600,16.8907,0.316991,0.00466376,1.3
12,25600,11.877,0.309482,0.0045763,1.4
13,25600,11.7014,0.302474,0.0043781,1.5
14,25600,10.5769,0.283273,0.00415665,1.6
15,25600,11.0201,0.274955,0.00368549,1.7
16,25600,10.8499,0.261934,0.00350181,1.8
17,25600,10.5073,0.25377,0.0033486,1.9
18,25600,10.434,0.248275,0.00317731,2
19,25600,11.6782,0.245177,0.00398733,2.1
20,25600,11.5717,0.238006,0.00306594,2.2
21,25600,10.8537,0.226946,0.00325658,2.3
22,25600,11.6284,0.219943,0.00266668,2.4
