#,simulations,time_usage,result,std_err,kappa
0,25600,211.468,0.350814,0.00581002,0.2
1,25600,205.803,0.356569,0.00617012,0.3
2,25600,188.436,0.369644,0.00659669,0.4
3,25600,174.956,0.375299,0.00618508,0.5
4,25600,157.902,0.383035,0.0067807,0.6
5,25600,140.829,0.390358,0.006941,0.7
6,25600,128.108,0.393102,0.00682471,0.8
7,25600,113.049,0.397818,0.00695887,0.9
8,25600,102.899,0.397705,0.00746372,1
9,25600,96.9768,0.411768,0.00724959,1.1
10,25600,92.9893,0.413182,0.00740256,1.2
11,25600,89.8087,0.41495,0.00768408,1.3
12,25600,85.4982,0.415685,0.00768439,1.4
13,25600,79.4005,0.426914,0.00807567,1.5
14,25600,74.5739,0.429024,0.008261,1.6
15,25600,69.0296,0.440753,0.00863843,1.7
16,25600,63.0997,0.448355,0.00875436,1.8
17,25600,57.6731,0.437597,0.00870531,1.9
18,25600,53.3395,0.449383,0.00868871,2
19,25600,49.7682,0.451524,0.00900203,2.1
20,25600,46.401,0.46728,0.00898223,2.2
21,25600,43.4165,0.456654,0.00877918,2.3
22,25600,40.684,0.464716,0.00868995,2.4
