#,simulations,time_usage,result,std_err,rho
0,25600,52.2509,0.466647,0.00833167,-1
1,25600,52.0928,0.430592,0.00788098,-0.98
2,25600,52.2611,0.408995,0.00740389,-0.96
3,25600,52.193,0.385337,0.00696399,-0.94
4,25600,52.0753,0.382968,0.00669653,-0.92
5,25600,52.6903,0.361492,0.00646093,-0.9
6,25600,52.6116,0.353901,0.006355,-0.88
7,25600,52.6947,0.342928,0.00618755,-0.86
8,25600,53.0246,0.338577,0.00604328,-0.84
9,25600,52.5445,0.332514,0.00601584,-0.82
10,25600,56.9189,0.33611,0.00599808,-0.8
11,25600,54.1954,0.334037,0.00605136,-0.78
12,25600,54.2837,0.346275,0.00649946,-0.76
13,25600,53.9886,0.33039,0.00573644,-0.74
14,25600,53.929,0.341061,0.00650905,-0.72
15,25600,53.8756,0.342472,0.006145,-0.7
16,25600,54.1391,0.355593,0.00669978,-0.68
17,25600,54.6708,0.361868,0.00659208,-0.66
18,25600,54.7641,0.364914,0.00651458,-0.64
19,25600,54.1622,0.378179,0.00709909,-0.62
20,25600,54.144,0.380989,0.00714197,-0.6
21,25600,54.2263,0.385698,0.00733909,-0.58
22,25600,53.8589,0.412182,0.007766,-0.56
23,25600,54.3965,0.423827,0.00809758,-0.54
24,25600,53.8756,0.444349,0.00822134,-0.52
25,25600,54.3764,0.43579,0.00844561,-0.5
26,25600,54.2847,0.462616,0.00886732,-0.48
27,25600,54.6545,0.470955,0.0092147,-0.46
28,25600,54.0226,0.47881,0.010055,-0.44
29,25600,54.3602,0.493896,0.00952342,-0.42
30,25600,54.1635,0.513981,0.0101276,-0.4
31,25600,54.7809,0.544684,0.0123334,-0.38
32,25600,54.4187,0.531582,0.0104762,-0.36
33,25600,54.8175,0.593921,0.0122657,-0.34
34,25600,54.769,0.57591,0.0128828,-0.32
35,25600,54.288,0.607334,0.0135403,-0.3
36,25600,54.2467,0.591199,0.0124757,-0.28
37,25600,54.3522,0.617751,0.0136449,-0.26
38,25600,52.5401,0.632899,0.0129791,-0.24
39,25600,53.7667,0.645149,0.0139652,-0.22
40,25600,53.5717,0.648501,0.0139756,-0.2
41,25600,53.6096,0.641633,0.0155683,-0.18
42,25600,53.4109,0.709083,0.0154635,-0.16
43,25600,53.3389,0.719432,0.0178761,-0.14
44,25600,53.2819,0.692177,0.0157244,-0.12
45,25600,53.5123,0.72005,0.0160118,-0.1
46,25600,53.3307,0.734839,0.0189744,-0.08
47,25600,53.2597,0.729754,0.01802,-0.06
48,25600,54.0206,0.703342,0.0152621,-0.04
49,25600,54.1445,0.725222,0.0175314,-0.02
50,25600,54.6855,0.723332,0.0190211,6.17562e-16
51,25600,54.2582,0.72273,0.0164596,0.02
52,25600,53.767,0.720172,0.0173876,0.04
53,25600,53.6902,0.73112,0.017639,0.06
54,25600,53.5694,0.736884,0.0177887,0.08
55,25600,53.7818,0.703477,0.0154078,0.1
56,25600,53.678,0.74949,0.0181763,0.12
57,25600,53.6491,0.74591,0.0189952,0.14
58,25600,54.5539,0.699545,0.0169472,0.16
59,25600,53.9785,0.704847,0.0155984,0.18
60,25600,53.9866,0.729238,0.0186345,0.2
61,25600,53.9762,0.740403,0.0216496,0.22
62,25600,53.836,0.722646,0.0210797,0.24
63,25600,53.9388,0.7049,0.0196008,0.26
64,25600,54.1179,0.649309,0.0142619,0.28
65,25600,53.6995,0.658721,0.0188995,0.3
66,25600,54.1216,0.636368,0.015628,0.32
67,25600,52.9597,0.61221,0.0159742,0.34
68,25600,52.8443,0.584357,0.013515,0.36
69,25600,55.8523,0.589882,0.0143962,0.38
70,25600,54.0616,0.560316,0.0133164,0.4
71,25600,54.1132,0.543744,0.0123612,0.42
72,25600,54.2337,0.539168,0.0135426,0.44
73,25600,54.4463,0.504164,0.0121142,0.46
74,25600,53.9597,0.503419,0.0130068,0.48
75,25600,53.715,0.491888,0.0126774,0.5
76,25600,53.8767,0.494013,0.0123909,0.52
77,25600,53.9895,0.457838,0.0111866,0.54
78,25600,53.7406,0.422231,0.010716,0.56
79,25600,53.7145,0.434512,0.0100787,0.58
80,25600,53.6618,0.422024,0.0109603,0.6
81,25600,53.7791,0.392284,0.00931223,0.62
82,25600,54.0167,0.394426,0.0103973,0.64
83,25600,54.261,0.382334,0.0086047,0.66
84,25600,56.55,0.374353,0.00810449,0.68
85,25600,55.4147,0.357121,0.00765443,0.7
86,25600,57.2124,0.343996,0.00768586,0.72
87,25600,55.8537,0.343597,0.007181,0.74
88,25600,55.6338,0.340663,0.00792052,0.76
89,25600,55.2849,0.326781,0.00709609,0.78
90,25600,55.9491,0.324676,0.00719038,0.8
91,25600,55.474,0.331232,0.00722257,0.82
92,25600,55.5553,0.332379,0.00696277,0.84
93,25600,55.6485,0.336013,0.00732625,0.86
94,25600,55.2851,0.334167,0.00698825,0.88
95,25600,55.6444,0.360791,0.00787541,0.9
96,25600,55.4948,0.369605,0.00782442,0.92
97,25600,55.1971,0.381697,0.00867239,0.94
98,25600,55.0418,0.387817,0.00853063,0.96
99,25600,55.4788,0.409159,0.00880091,0.98
