#,simulations,time_usage,result,std_err,V0
0,25600,232.259,0.255284,0.00157017,0.2
1,25600,161.825,0.292911,0.00173222,0.3
2,25600,106.969,0.32171,0.00182609,0.4
3,25600,90.6229,0.334864,0.00189887,0.5
4,25600,82.0007,0.350922,0.00195072,0.6
5,25600,72.7248,0.361246,0.00198973,0.7
6,25600,66.4691,0.376231,0.00202689,0.8
7,25600,62.0908,0.382158,0.00205599,0.9
8,25600,58.3823,0.389939,0.00208113,1
9,25600,54.7104,0.396985,0.00210041,1.1
10,25600,52.3199,0.402196,0.00211795,1.2
11,25600,50.1236,0.407755,0.00213123,1.3
12,25600,47.607,0.416876,0.00214331,1.4
13,25600,45.9828,0.417533,0.00216588,1.5
14,25600,44.8602,0.418658,0.00216795,1.6
15,25600,43.2537,0.424908,0.00217341,1.7
16,25600,41.7816,0.427878,0.00218898,1.8
17,25600,40.6312,0.42962,0.00220297,1.9
18,25600,39.4914,0.434624,0.00220638,2
19,25600,38.6418,0.436204,0.00221199,2.1
20,25600,37.58,0.439459,0.00221783,2.2
21,25600,36.8816,0.444931,0.00222226,2.3
22,25600,36.1961,0.446434,0.00222911,2.4
