#,simulations,time_usage,result,std_err,epsilon
0,25600,56.1662,0.393934,0.00209847,0.2
1,25600,32.0784,0.393149,0.00210429,0.3
2,25600,27.99,0.39062,0.00212283,0.4
3,25600,21.2769,0.381222,0.00211159,0.5
4,25600,16.4263,0.379382,0.00211157,0.6
5,25600,15.0612,0.3772,0.00210048,0.7
6,25600,14.9236,0.368505,0.00209644,0.8
7,25600,13.3721,0.358028,0.00208807,0.9
8,25600,12.5752,0.355596,0.00208381,1
9,25600,12.8741,0.346068,0.00207185,1.1
10,25600,16.7277,0.340185,0.00205353,1.2
11,25600,15.5981,0.331861,0.00204377,1.3
12,25600,11.8065,0.329868,0.00203674,1.4
13,25600,11.076,0.32081,0.00200987,1.5
14,25600,10.92,0.313357,0.0019958,1.6
15,25600,10.2426,0.311088,0.00198646,1.7
16,25600,10.3655,0.29886,0.0019518,1.8
17,25600,10.4079,0.290311,0.00194177,1.9
18,25600,11.2734,0.286465,0.001924,2
19,25600,12.1716,0.280653,0.00190367,2.1
20,25600,10.6477,0.275704,0.00187952,2.2
21,25600,10.8857,0.268214,0.00186542,2.3
22,25600,11.728,0.264843,0.00184887,2.4
