#,simulations,time_usage,result,std_err,r
0,2560,8.08561,0.26808,0.00450621,0.05
1,2560,7.97774,0.243225,0.00423116,0.06
2,2560,7.86518,0.215581,0.00386839,0.07
3,2560,7.88431,0.203773,0.00366026,0.08
4,2560,7.92653,0.194227,0.00336876,0.09
5,2560,7.89315,0.178294,0.00314636,0.1
6,2560,7.9076,0.165891,0.00291374,0.11
7,2560,7.79268,0.148114,0.00271581,0.12
8,2560,7.85115,0.136156,0.00253752,0.13
9,2560,7.79299,0.13003,0.00234815,0.14
10,2560,7.84097,0.117139,0.00218807,0.15
11,2560,7.87183,0.111788,0.00204338,0.16
12,2560,7.91435,0.102712,0.00188972,0.17
13,2560,7.72745,0.0917673,0.0017348,0.18
14,2560,7.83106,0.0838987,0.00162414,0.19
15,2560,7.74329,0.0784546,0.00149592,0.2
16,2560,7.86926,0.0745291,0.00141484,0.21
17,2560,7.83739,0.0690583,0.00130715,0.22
18,2560,7.93215,0.0641907,0.00122724,0.23
19,2560,7.82853,0.0597029,0.00114306,0.24
20,2560,7.82307,0.0536473,0.00104743,0.25
21,2560,7.82968,0.0512419,0.00099209,0.26
22,2560,7.90635,0.0460267,0.000905108,0.27
23,2560,7.8438,0.0414096,0.000835895,0.28
24,2560,7.83011,0.0393788,0.000787623,0.29
25,2560,7.86574,0.0350073,0.000737136,0.3
26,2560,7.83542,0.0335042,0.00068484,0.31
27,2560,7.86275,0.0318919,0.000634754,0.32
28,2560,7.88181,0.0288597,0.000589675,0.33
29,2560,7.90439,0.0258102,0.000543803,0.34
30,2560,7.82748,0.023762,0.00049865,0.35
31,2560,7.87533,0.022068,0.000465379,0.36
32,2560,7.79379,0.0202466,0.000427559,0.37
33,2560,7.83104,0.019426,0.000405458,0.38
34,2560,7.82524,0.0175656,0.000371235,0.39
35,2560,7.89501,0.0168411,0.000353494,0.4
36,2560,7.8128,0.0151059,0.000321918,0.41
37,2560,7.87501,0.013271,0.000293385,0.42
38,2560,7.83115,0.0129854,0.00027899,0.43
