#,simulations,time_usage,result,std_err,rho
0,25600,52.7798,0.398178,0.00211538,-1
1,25600,52.6421,0.400659,0.00210424,-0.98
2,25600,53.1341,0.399303,0.00208619,-0.96
3,25600,52.7692,0.396893,0.00207739,-0.94
4,25600,56.3126,0.394974,0.00207102,-0.92
5,25600,54.4297,0.394098,0.00206815,-0.9
6,25600,54.4582,0.397889,0.00206543,-0.88
7,25600,54.5048,0.395393,0.00205507,-0.86
8,25600,54.2576,0.396034,0.00205408,-0.84
9,25600,54.4384,0.396349,0.00204415,-0.82
10,25600,54.2264,0.393962,0.00204344,-0.8
11,25600,54.5908,0.394228,0.00204491,-0.78
12,25600,54.2608,0.394995,0.00204931,-0.76
13,25600,54.3509,0.396981,0.00204861,-0.74
14,25600,54.1724,0.397782,0.00204891,-0.72
15,25600,53.7926,0.398371,0.00205463,-0.7
16,25600,54.7947,0.396471,0.002057,-0.68
17,25600,54.6361,0.395893,0.00205213,-0.66
18,25600,54.0143,0.394461,0.00206424,-0.64
19,25600,54.3793,0.399018,0.00207697,-0.62
20,25600,54.3656,0.395264,0.0020757,-0.6
21,25600,54.6204,0.398007,0.00207793,-0.58
22,25600,54.5573,0.394647,0.00208375,-0.56
23,25600,54.4046,0.398218,0.00209587,-0.54
24,25600,54.5383,0.399301,0.00209126,-0.52
25,25600,55.0186,0.397147,0.00210641,-0.5
26,25600,55.0551,0.400403,0.00210488,-0.48
27,25600,54.2348,0.399145,0.00211435,-0.46
28,25600,55.0759,0.403339,0.00212225,-0.44
29,25600,54.2138,0.399895,0.00212448,-0.42
30,25600,54.5068,0.400686,0.00212783,-0.4
31,25600,54.3042,0.400786,0.00213669,-0.38
32,25600,53.5236,0.400908,0.00214093,-0.36
33,25600,53.1755,0.399421,0.00214898,-0.34
34,25600,54.5001,0.4006,0.00213934,-0.32
35,25600,53.9401,0.402822,0.00215344,-0.3
36,25600,53.2765,0.403917,0.00215119,-0.28
37,25600,53.3843,0.406351,0.00215984,-0.26
38,25600,53.2826,0.403427,0.0021612,-0.24
39,25600,53.3473,0.406199,0.00216384,-0.22
40,25600,53.3364,0.405611,0.00216977,-0.2
41,25600,53.4519,0.403858,0.00217303,-0.18
42,25600,54.2385,0.404593,0.00216543,-0.16
43,25600,54.0441,0.403649,0.00216756,-0.14
44,25600,54.4357,0.407053,0.00217725,-0.12
45,25600,54.3208,0.406318,0.00217669,-0.1
46,25600,53.7202,0.40486,0.00217793,-0.08
47,25600,53.6722,0.407073,0.00218143,-0.06
48,25600,53.4905,0.408994,0.00217944,-0.04
49,25600,54.1385,0.409689,0.002184,-0.02
50,25600,53.7529,0.407546,0.00218044,6.17562e-16
51,25600,53.6803,0.40857,0.00217471,0.02
52,25600,53.5069,0.410472,0.0021801,0.04
53,25600,54.3281,0.407039,0.00217539,0.06
54,25600,54.1093,0.407895,0.00217408,0.08
55,25600,53.8047,0.405413,0.00217705,0.1
56,25600,53.6926,0.408796,0.00217113,0.12
57,25600,53.6723,0.407656,0.00216332,0.14
58,25600,53.8515,0.408535,0.00216019,0.16
59,25600,53.965,0.40927,0.0021553,0.18
60,25600,54.0433,0.411176,0.00215648,0.2
61,25600,53.5118,0.406903,0.0021469,0.22
62,25600,52.8138,0.411632,0.00215614,0.24
63,25600,55.6836,0.412492,0.00214938,0.26
64,25600,53.4725,0.409051,0.00213729,0.28
65,25600,54.3602,0.41153,0.00213186,0.3
66,25600,54.7026,0.411969,0.00213292,0.32
67,25600,54.0297,0.41596,0.00211841,0.34
68,25600,53.9819,0.409476,0.00211321,0.36
69,25600,53.7163,0.411813,0.00211067,0.38
70,25600,53.4889,0.410627,0.00210457,0.4
71,25600,53.6965,0.408117,0.00210051,0.42
72,25600,53.6544,0.40999,0.00209013,0.44
73,25600,53.4107,0.412047,0.00207698,0.46
74,25600,53.8652,0.412387,0.00207158,0.48
75,25600,53.6153,0.413453,0.00207106,0.5
76,25600,53.8334,0.411093,0.00205798,0.52
77,25600,53.9679,0.410229,0.00205963,0.54
78,25600,56.466,0.408437,0.00205165,0.56
79,25600,54.5058,0.409279,0.00204262,0.58
80,25600,57.2803,0.408452,0.0020289,0.6
81,25600,56.0588,0.405741,0.00201815,0.62
82,25600,55.5235,0.411059,0.00201433,0.64
83,25600,55.5436,0.41244,0.0020132,0.66
84,25600,55.4121,0.412415,0.00199846,0.68
85,25600,55.4411,0.407689,0.00200101,0.7
86,25600,55.3686,0.411347,0.00199656,0.72
87,25600,55.4271,0.411214,0.00198796,0.74
88,25600,55.8488,0.412871,0.00198828,0.76
89,25600,55.4923,0.410892,0.00199342,0.78
90,25600,55.8401,0.408277,0.00198107,0.8
91,25600,55.3536,0.404918,0.00198373,0.82
92,25600,55.5243,0.41169,0.00199226,0.84
93,25600,55.8564,0.408596,0.001992,0.86
94,25600,55.0047,0.408761,0.00199384,0.88
95,25600,55.6516,0.41097,0.00200222,0.9
96,25600,55.4748,0.407911,0.00201547,0.92
97,25600,55.5002,0.409827,0.00201529,0.94
98,25600,55.6199,0.408008,0.00203524,0.96
99,25600,55.2614,0.413236,0.00204901,0.98
