#,simulations,time_usage,result,std_err,theta
0,25600,226.994,0.264081,0.00161819,0.2
1,25600,212.316,0.273325,0.00165047,0.3
2,25600,186.971,0.284812,0.00169763,0.4
3,25600,159.609,0.292445,0.00173347,0.5
4,25600,138.383,0.306183,0.00178147,0.6
5,25600,120.38,0.312437,0.00181011,0.7
6,25600,108.414,0.323502,0.00185353,0.8
7,25600,99.5327,0.33826,0.00189642,0.9
8,25600,91.6828,0.351512,0.00194172,1
9,25600,84.2222,0.359316,0.00196894,1.1
10,25600,76.9602,0.36971,0.00201434,1.2
11,25600,70.9345,0.377482,0.00204234,1.3
12,25600,65.1386,0.392721,0.00206905,1.4
13,25600,59.4213,0.392377,0.00210427,1.5
14,25600,54.9228,0.404258,0.00213502,1.6
15,25600,50.9233,0.416362,0.00215952,1.7
16,25600,47.3283,0.427048,0.00219433,1.8
17,25600,43.713,0.436244,0.00221012,1.9
18,25600,39.8842,0.442702,0.00222535,2
19,25600,37.2296,0.449392,0.00225443,2.1
20,25600,34.8138,0.45634,0.00226441,2.2
21,25600,32.3894,0.465084,0.00229085,2.3
22,25600,30.3924,0.472934,0.00230792,2.4
